Languages,language_code
Viti,vit
Ngwo,ngn
Lamnso',lns
Ubang,uba
Ukpe-Bayobiri,ukp
Alege,alf
Bete-Bendi,btt
Obanliku,bzy
Gwa,gwb
Bada (Nigeria),bau
Jarawa (Nigeria),jar
Duguri,dbm
Bile,bil
Mbula-Bwazza,mbu
Labir,jku
Shiki,gua
Dulbu,dbo
Bebe,bzv
Nsari,asj
Ejagham,etu
Eman,emn
Caka,ckx
Ipulo-Olulu,ass
Iceve-Maci,bec
Nkoya,nka
Ngwii,nlo
Nubaca,baf
Pogolo,poy
Ndamba,ndj
Nilamba,nim
Nyaturu,rim
Isanzu,isn
Manyawa,mny
Holoholo,hoo
Nyanga,nyj
Nsenga,nse
Mbugwe,mgz
Langi,lag
Kwakum,kwu
Kako,kkj
Pol,pmm
Tibea,ngy
Bonkeng,bvg
Myene,mye
Yekhee,ets
Uneme,une
Emai-Iuleha-Ora,ema
Ikhin-Arokho,ikh
Ukue,uku
Ehueun,ehu
Enwan (Edo State),env
Ikpeshi,ikp
Ivbie North-Okpela-Arhe,atg
Igwe,igw
Sasaru,sxs
Okpe (Northwestern Edo),okx
Akuku,ayk
Jonkor Bourmataguil,jeu
Teshenawa,twc
Auyokawa,auo
Warji-Gala,wji
Kariya,kil
Dokshi,dsk
Dyarim,dyr
Saya,say
Zari,zaz
Gyaazi,gyz
Bu (Zaranda),zbu
Luri,ldd
Ju,juu
Kir-Balar,kkr
Mangas,zns
Jakattoe,jrt
Pan,kwl
Nteng,nqt
Tal,tal
Kushi,kuh
Maaka,mew
Nyam,nmi
Bure,bvh
Kholok,ktc
Gude,gde
Fali,fli
Marghi South,mfm
Huba,hbb
Guduf-Gava,gdf
Cineni,cie
Wandala,mfi
Wuzlam,udl
Muyang,muy
Mada (Cameroon),mxu
Dugwor,dme
Merey,meq
Konso,kxc
West Central Oromo,gaz
Arbore,arv
El Molo,elo
Daasanach,dsh
Somali,som
Maay,ymm
Girirra,gii
Rendille,rel
